Record_ID,Year,State,District,Crop,Season,Area_Hectares,Annual_Rainfall_mm,Avg_Temperature_C,Humidity_Percent,Soil_N_kg_per_ha,Soil_P_kg_per_ha,Soil_K_kg_per_ha,Soil_pH,Fertilizer_Usage_kg_per_ha,Pesticide_Usage_kg_per_ha,Yield_tonnes_per_ha
REC_2022_000101,2022,Punjab,Amritsar,Cotton,Kharif,2742.1,634.23,24.49,63.0,265.43,8.0,185.62,5.89,130.35,3.01,1.079
REC_2016_000102,2016,Maharashtra,Aurangabad,Wheat,Kharif,737.5,1346.75,29.34,47.31,249.29,37.83,189.18,6.43,181.81,3.2,2.595
REC_2024_000103,2024,Karnataka,Belagavi,Pulses,Rabi,1006.8,1209.28,30.7,58.35,214.88,38.37,148.35,7.19,182.86,1.69,0.805
REC_2022_000104,2022,Karnataka,Belagavi,Pulses,Rabi,778.92,1234.24,28.4,61.74,257.96,41.68,180.53,6.44,95.15,3.84,0.577
REC_2013_000105,2013,Tamil Nadu,Salem,Pulses,Rabi,840.62,1017.88,28.47,60.61,285.65,38.65,201.97,7.3,111.52,2.59,1.015
REC_2020_000106,2020,Andhra Pradesh,Visakhapatnam,Groundnut,Kharif,602.96,770.88,31.41,84.7,255.01,38.87,159.3,6.08,138.61,3.38,2.146
REC_2015_000107,2015,Punjab,Patiala,Millets,Kharif,2031.75,785.6,25.22,68.96,273.66,33.34,134.91,6.67,110.23,2.41,0.691
REC_2011_000108,2011,Andhra Pradesh,Kurnool,Maize,Kharif,1636.47,970.04,33.16,57.68,184.68,29.55,153.08,6.31,66.71,2.38,2.472
REC_2017_000109,2017,Maharashtra,Solapur,Pulses,Rabi,1556.6,1075.09,23.72,76.33,227.21,56.51,193.65,6.67,128.91,2.18,0.995
REC_2021_000110,2021,Haryana,Ambala,Millets,Kharif,1695.92,401.38,26.23,64.07,282.42,35.98,248.8,6.26,129.39,1.69,1.136
REC_2020_000111,2020,Punjab,Patiala,Cotton,Kharif,681.08,684.17,25.85,73.83,186.17,30.8,201.77,7.49,129.35,3.71,2.324
REC_2019_000112,2019,West Bengal,Nadia,Sugarcane,Whole Year,2047.29,1455.0,29.47,63.88,248.51,47.4,181.23,6.58,154.06,1.26,65.706
REC_2023_000113,2023,Tamil Nadu,Thanjavur,Cotton,Rabi,498.79,997.98,29.47,68.05,222.7,43.74,182.15,6.61,139.36,1.44,1.636
REC_2015_000114,2015,Karnataka,Belagavi,Groundnut,Kharif,554.34,1013.56,28.79,70.48,231.54,36.55,168.0,5.63,167.43,2.06,1.778
REC_2017_000115,2017,Haryana,Ambala,Cotton,Kharif,1225.41,298.74,23.31,61.75,177.29,38.52,128.95,7.08,138.75,1.55,1.368
REC_2024_000116,2024,Haryana,Sirsa,Cotton,Kharif,1041.1,616.1,28.68,46.37,243.08,40.15,221.19,6.91,127.15,2.13,2.088
REC_2014_000117,2014,Punjab,Amritsar,Sugarcane,Whole Year,628.02,613.85,23.55,56.95,295.96,24.89,235.14,6.62,147.82,0.49,62.666
REC_2024_000118,2024,Maharashtra,Aurangabad,Rice,Whole Year,2979.18,889.7,27.8,64.94,265.57,38.81,188.56,6.76,114.24,2.06,5.902
REC_2018_000119,2018,Tamil Nadu,Salem,Millets,Kharif,549.37,957.12,26.19,67.52,214.38,31.91,157.17,6.31,172.7,1.29,0.781
REC_2021_000120,2021,Karnataka,Belagavi,Rice,Whole Year,642.49,1168.41,22.92,75.71,226.4,35.33,132.26,6.54,143.14,2.83,4.139
REC_2015_000121,2015,Maharashtra,Aurangabad,Pulses,Zaid,317.76,1184.47,28.27,72.43,240.29,38.18,187.97,7.49,190.13,2.05,0.942
REC_2018_000122,2018,Andhra Pradesh,Kurnool,Sugarcane,Whole Year,452.15,825.68,24.48,74.11,228.23,38.43,170.7,6.0,177.91,2.31,61.7
REC_2017_000123,2017,Gujarat,Junagadh,Cotton,Kharif,1707.61,712.29,33.25,64.12,261.07,40.37,135.37,7.97,83.2,2.54,1.535
REC_2022_000124,2022,Uttar Pradesh,Varanasi,Cotton,Rabi,2907.2,783.84,27.61,72.38,221.1,27.86,135.44,7.67,121.95,2.75,1.48
REC_2015_000125,2015,Haryana,Ambala,Wheat,Zaid,882.57,511.72,21.36,43.83,211.04,23.58,176.34,7.58,126.8,2.16,3.158
REC_2023_000126,2023,Gujarat,Rajkot,Maize,Rabi,817.06,971.81,29.58,62.33,247.72,59.5,232.4,8.12,158.62,1.9,3.241
REC_2018_000127,2018,Madhya Pradesh,Indore,Pulses,Rabi,1179.38,710.66,26.05,46.35,278.96,47.6,151.12,7.06,171.47,2.12,1.392
REC_2020_000128,2020,Punjab,Jalandhar,Maize,Rabi,2534.97,984.92,26.75,51.13,204.23,55.66,186.21,6.49,140.97,1.3,4.081
REC_2022_000129,2022,Uttar Pradesh,Lucknow,Cotton,Kharif,4338.92,936.04,28.03,69.93,299.98,25.26,207.49,7.24,116.4,1.48,1.758
REC_2017_000130,2017,Andhra Pradesh,Guntur,Wheat,Rabi,495.34,901.0,27.91,66.26,129.61,32.36,96.95,7.07,96.6,2.27,1.201
REC_2010_000131,2010,Tamil Nadu,Coimbatore,Pulses,Rabi,1251.87,1175.21,27.15,76.08,376.54,39.53,181.88,6.33,133.2,1.94,0.707
REC_2022_000132,2022,Andhra Pradesh,Guntur,Millets,Rabi,2183.3,792.49,23.66,54.67,160.79,38.21,212.89,5.85,171.33,2.32,0.543
REC_2013_000133,2013,Haryana,Hisar,Rice,Kharif,3511.11,192.67,22.7,53.21,190.64,33.42,193.46,6.67,117.25,3.18,3.896
REC_2022_000134,2022,Haryana,Ambala,Maize,Kharif,114.13,707.48,25.75,63.1,254.36,27.65,206.27,6.11,143.8,0.84,3.007
REC_2019_000135,2019,Punjab,Bathinda,Millets,Rabi,486.53,297.31,26.34,65.27,304.37,40.65,228.05,7.9,113.91,3.0,1.535
REC_2021_000136,2021,Haryana,Ambala,Maize,Kharif,1345.27,515.38,25.74,52.68,236.25,41.92,82.37,6.04,141.55,2.08,3.249
REC_2021_000137,2021,Gujarat,Vadodara,Rice,Kharif,1084.33,1049.26,26.41,54.64,250.42,36.29,243.85,6.96,180.53,2.22,5.334
REC_2023_000138,2023,Madhya Pradesh,Bhopal,Maize,Kharif,2203.33,852.33,25.84,44.67,222.25,33.88,200.3,6.94,171.64,2.11,3.943
REC_2014_000139,2014,Tamil Nadu,Salem,Sugarcane,Whole Year,949.78,751.75,29.39,77.58,215.46,47.75,168.97,6.28,159.49,1.31,81.973
REC_2010_000140,2010,Andhra Pradesh,Visakhapatnam,Maize,Kharif,369.74,889.06,24.95,68.26,356.71,38.5,230.48,7.98,179.46,1.83,3.635
REC_2015_000141,2015,Punjab,Bathinda,Cotton,Kharif,4855.18,697.86,29.66,54.93,254.01,27.01,229.29,6.73,98.96,3.1,1.95
REC_2015_000142,2015,Andhra Pradesh,Krishna,Cotton,Kharif,803.21,593.32,34.7,76.31,249.37,51.35,152.58,6.74,173.43,3.41,2.621
REC_2024_000143,2024,Andhra Pradesh,Chittoor,Maize,Kharif,1496.63,884.92,32.13,75.05,92.98,42.87,198.76,6.79,126.4,2.96,3.341
REC_2021_000144,2021,Gujarat,Junagadh,Groundnut,Whole Year,2689.4,858.1,33.52,60.95,222.18,27.63,198.52,7.08,157.01,1.7,1.521
REC_2023_000145,2023,Andhra Pradesh,Guntur,Rice,Kharif,880.7,1004.66,22.56,79.32,334.02,26.41,205.13,6.52,161.99,2.56,4.368
REC_2016_000146,2016,Karnataka,Dharwad,Rice,Kharif,349.67,957.99,24.99,78.78,253.99,17.27,201.6,7.69,123.25,2.74,2.956
REC_2017_000147,2017,Gujarat,Ahmedabad,Cotton,Kharif,3083.69,896.55,35.1,48.7,229.14,21.99,144.27,6.2,145.87,1.64,1.356
REC_2011_000148,2011,Haryana,Hisar,Groundnut,Kharif,556.23,,28.59,55.0,239.53,31.07,196.98,7.3,109.65,1.98,1.494
REC_2011_000149,2011,Uttar Pradesh,Varanasi,Maize,Kharif,917.02,997.26,26.62,72.23,233.13,39.69,185.36,6.96,119.6,3.46,3.265
REC_2016_000150,2016,Karnataka,Belagavi,Millets,Kharif,1307.26,1069.67,27.14,63.4,220.31,39.77,197.1,6.69,79.06,0.26,0.735
REC_2011_000151,2011,West Bengal,Murshidabad,Millets,Kharif,1351.97,1498.45,28.05,61.6,306.93,25.03,253.77,7.04,162.04,2.72,1.462
REC_2017_000152,2017,Haryana,Karnal,Groundnut,Rabi,226.26,604.89,23.91,75.97,190.38,47.03,213.27,6.94,191.8,1.33,2.56
REC_2010_000153,2010,Tamil Nadu,Thanjavur,Pulses,Rabi,978.35,940.75,20.56,78.62,119.51,34.07,190.68,7.12,138.54,1.26,0.901
REC_2021_000154,2021,Punjab,Jalandhar,Rice,Kharif,4488.6,607.21,24.62,66.34,202.89,9.06,201.5,7.39,92.7,2.34,2.206
REC_2020_000155,2020,West Bengal,Midnapore,Pulses,Rabi,361.54,1531.41,21.74,78.51,323.07,35.25,200.38,6.04,118.43,2.47,0.475
REC_2012_000156,2012,Gujarat,Surat,Sugarcane,Whole Year,861.83,909.68,31.65,75.43,189.25,25.27,133.41,6.66,156.32,2.46,70.98
REC_2011_000157,2011,Haryana,Hisar,Wheat,Rabi,2073.86,429.67,31.69,41.33,249.24,59.28,190.31,6.69,127.49,3.95,3.967
REC_2021_000158,2021,Uttar Pradesh,Gorakhpur,Groundnut,Whole Year,1268.52,1030.62,27.19,65.41,256.59,29.91,117.22,6.37,145.5,2.54,1.92
REC_2017_000159,2017,Andhra Pradesh,Chittoor,Rice,Whole Year,110.9,1049.56,24.36,61.87,263.62,52.81,206.0,6.61,139.98,2.69,5.463
REC_2017_000160,2017,Gujarat,Surat,Sugarcane,Whole Year,509.11,904.52,30.29,60.69,196.35,34.76,168.1,6.32,151.86,2.8,71.396
REC_2018_000161,2018,Uttar Pradesh,Varanasi,Groundnut,Kharif,2890.24,818.41,26.77,50.51,218.87,49.94,103.77,7.48,130.42,1.56,1.757
REC_2011_000162,2011,Punjab,Ludhiana,Pulses,Kharif,2794.25,669.06,25.87,74.8,161.79,54.41,194.7,6.26,93.44,3.33,1.007
REC_2011_000163,2011,Gujarat,Vadodara,Millets,Kharif,584.5,594.57,,69.54,218.96,8.0,198.95,7.06,154.15,3.03,1.44
REC_2011_000164,2011,Gujarat,Vadodara,Maize,Zaid,368.61,789.9,30.13,76.19,361.72,27.2,196.03,7.62,110.45,3.0,2.8
REC_2021_000165,2021,Tamil Nadu,Salem,Cotton,Kharif,340.51,1199.13,31.63,69.86,296.68,22.25,136.08,7.32,160.29,2.83,1.779
REC_2017_000166,2017,Tamil Nadu,Salem,Millets,Rabi,3749.42,1293.0,32.13,72.73,199.59,25.03,213.51,7.05,189.06,0.93,1.198
REC_2014_000167,2014,West Bengal,Murshidabad,Sugarcane,Whole Year,3145.89,1909.22,36.95,85.16,230.84,41.41,229.94,6.61,202.83,3.07,102.636
REC_2020_000168,2020,West Bengal,Burdwan,Rice,Kharif,1056.37,1483.72,25.53,71.99,262.7,38.74,169.81,6.37,205.67,2.05,4.323
REC_2010_000169,2010,Madhya Pradesh,Jabalpur,Rice,Kharif,1620.95,776.78,25.86,67.57,268.76,41.01,192.24,6.8,116.89,2.01,4.523
REC_2020_000170,2020,Uttar Pradesh,Meerut,Cotton,Kharif,1117.65,863.81,23.24,70.89,220.4,47.72,217.77,7.21,92.19,2.26,1.809
